hour_of_day,day_of_week,crimes
0,Sunday,28930
12,Saturday,28077
0,Monday,27604
12,Tuesday,26941
12,Thursday,26388
12,Wednesday,25840
22,Saturday,25470
0,Saturday,25363
12,Friday,25269
22,Sunday,24749
23,Saturday,24735
23,Sunday,24373
22,Friday,23765
12,Sunday,23565
2,Sunday,23232
2,Monday,23095
18,Saturday,22973
1,Sunday,22614
1,Monday,22505
0,Tuesday,22503
22,Monday,22436
22,Wednesday,22311
22,Thursday,22263
21,Saturday,22033
17,Saturday,21900
22,Tuesday,21826
0,Friday,21719
0,Thursday,21717
18,Tuesday,21630
21,Sunday,21581
18,Wednesday,21557
18,Friday,21489
23,Friday,21393
20,Saturday,21302
21,Friday,21210
18,Thursday,21034
17,Tuesday,20797
20,Friday,20713
21,Wednesday,20644
17,Wednesday,20641
20,Sunday,20507
0,Wednesday,20487
21,Thursday,20359
20,Wednesday,20280
17,Thursday,20251
19,Wednesday,20153
20,Thursday,20136
21,Monday,20113
19,Tuesday,20054
19,Friday,20023
12,Monday,20003
17,Friday,19987
20,Tuesday,19985
21,Tuesday,19940
19,Saturday,19890
18,Sunday,19686
18,Monday,19630
19,Thursday,19627
23,Monday,19548
19,Sunday,19379
23,Thursday,19274
20,Monday,18859
23,Wednesday,18823
23,Tuesday,18503
19,Monday,18095
17,Sunday,17940
17,Monday,17709
16,Thursday,17667
16,Tuesday,17654
16,Wednesday,17511
16,Saturday,17272
16,Friday,17231
15,Saturday,16688
15,Wednesday,16577
16,Sunday,16446
1,Saturday,16394
15,Thursday,16357
14,Saturday,16346
2,Saturday,16263
15,Tuesday,16217
15,Friday,16192
14,Thursday,15838
3,Monday,15785
15,Sunday,15735
14,Wednesday,15598
16,Monday,15552
13,Saturday,15443
14,Tuesday,15231
3,Sunday,15225
14,Friday,14963
13,Wednesday,14680
13,Thursday,14636
15,Monday,14509
14,Sunday,14457
13,Friday,14449
11,Saturday,14356
13,Tuesday,14334
10,Saturday,14282
10,Tuesday,14108
10,Wednesday,14044
10,Thursday,13974
10,Friday,13852
11,Wednesday,13713
11,Friday,13477
11,Thursday,13446
11,Tuesday,13385
14,Monday,13347
1,Friday,13184
13,Sunday,13055
1,Tuesday,12935
2,Friday,12714
2,Tuesday,12663
8,Tuesday,12548
1,Thursday,12501
11,Sunday,12376
9,Thursday,12367
10,Sunday,12250
9,Tuesday,12235
9,Wednesday,12233
8,Thursday,12221
8,Wednesday,12188
9,Saturday,12073
8,Saturday,12015
9,Friday,12005
8,Friday,11886
13,Monday,11806
2,Thursday,11621
1,Wednesday,11406
11,Monday,10579
2,Wednesday,10390
10,Monday,10354
3,Saturday,10135
4,Monday,9960
9,Sunday,9814
4,Sunday,9333
8,Sunday,9068
7,Thursday,8995
7,Tuesday,8995
7,Wednesday,8951
7,Friday,8728
9,Monday,8526
3,Tuesday,8487
7,Saturday,8419
3,Friday,8187
8,Monday,8024
3,Thursday,7724
3,Wednesday,7210
5,Monday,6641
4,Saturday,6349
7,Sunday,6198
7,Monday,6019
5,Sunday,5935
4,Tuesday,5779
6,Thursday,5672
6,Friday,5669
4,Friday,5652
6,Wednesday,5558
6,Tuesday,5538
6,Saturday,5507
4,Thursday,5411
6,Monday,5326
4,Wednesday,5241
6,Sunday,5017
5,Saturday,4697
5,Friday,4582
5,Tuesday,4543
5,Wednesday,4356
5,Thursday,4331
NULL,Unknown,66
