years,day_of_week,crimes
2024,Friday,12002
2024,Monday,12171
2024,Saturday,13286
2024,Sunday,12679
2024,Thursday,11903
2024,Tuesday,12566
2024,Wednesday,11970
2023,Friday,12146
2023,Monday,12773
2023,Saturday,13306
2023,Sunday,13109
2023,Thursday,12149
2023,Tuesday,12504
2023,Wednesday,11748
2022,Friday,12373
2022,Monday,12462
2022,Saturday,13467
2022,Sunday,13210
2022,Thursday,12354
2022,Tuesday,12670
2022,Wednesday,12334
2021,Friday,12826
2021,Monday,13063
2021,Saturday,14326
2021,Sunday,13108
2021,Thursday,12922
2021,Tuesday,13503
2021,Wednesday,12639
2020,Friday,14165
2020,Monday,13843
2020,Saturday,14797
2020,Sunday,13978
2020,Thursday,14452
2020,Tuesday,14370
2020,Wednesday,14088
2019,Friday,14266
2019,Monday,14876
2019,Saturday,16064
2019,Sunday,15157
2019,Thursday,14234
2019,Tuesday,14892
2019,Wednesday,14637
2018,Friday,14105
2018,Monday,13818
2018,Saturday,14959
2018,Sunday,14608
2018,Thursday,13922
2018,Tuesday,14363
2018,Wednesday,13691
2017,Friday,14907
2017,Monday,14761
2017,Saturday,16294
2017,Sunday,15110
2017,Thursday,15111
2017,Tuesday,14971
2017,Wednesday,14772
2016,Friday,15205
2016,Monday,15236
2016,Saturday,16722
2016,Sunday,16165
2016,Thursday,15133
2016,Tuesday,15598
2016,Wednesday,15242
2015,Friday,16159
2015,Monday,15985
2015,Saturday,16631
2015,Sunday,16341
2015,Thursday,15995
2015,Tuesday,16074
2015,Wednesday,16012
2014,Friday,16180
2014,Monday,16173
2014,Saturday,17892
2014,Sunday,17500
2014,Thursday,16841
2014,Tuesday,16287
2014,Wednesday,16691
2013,Friday,17356
2013,Monday,17788
2013,Saturday,19381
2013,Sunday,18869
2013,Thursday,17298
2013,Tuesday,17792
2013,Wednesday,17937
2012,Friday,18340
2012,Monday,18871
2012,Saturday,19734
2012,Sunday,19782
2012,Thursday,18370
2012,Tuesday,18316
2012,Wednesday,17626
2011,Friday,18651
2011,Monday,18367
2011,Saturday,20439
2011,Sunday,20783
2011,Thursday,18151
2011,Tuesday,17942
2011,Wednesday,18087
2010,Friday,19967
2010,Monday,19690
2010,Saturday,22456
2010,Sunday,21787
2010,Thursday,19327
2010,Tuesday,19587
2010,Wednesday,19221
2009,Friday,21056
2009,Monday,20506
2009,Saturday,22487
2009,Sunday,22056
2009,Thursday,20287
2009,Tuesday,20217
2009,Wednesday,19968
2008,Friday,20953
2008,Monday,20586
2008,Saturday,22806
2008,Sunday,22781
2008,Thursday,20500
2008,Tuesday,20764
2008,Wednesday,20964
2007,Friday,20428
2007,Monday,20012
2007,Saturday,21233
2007,Sunday,22007
2007,Thursday,19664
2007,Tuesday,20029
2007,Wednesday,19101
2006,Friday,19238
2006,Monday,19362
2006,Saturday,20331
2006,Sunday,20607
2006,Thursday,18550
2006,Tuesday,18646
2006,Wednesday,18016
2005,Friday,18694
2005,Monday,18421
2005,Saturday,19745
2005,Sunday,20716
2005,Thursday,18401
2005,Tuesday,18571
2005,Wednesday,18518
2004,Friday,18441
2004,Monday,17038
2004,Saturday,19175
2004,Sunday,18790
2004,Thursday,17224
2004,Tuesday,17124
2004,Wednesday,16999
2003,Friday,17774
2003,Monday,17204
2003,Saturday,19114
2003,Sunday,19075
2003,Thursday,17930
2003,Tuesday,17201
2003,Wednesday,17342
